Rank,Company Name,Slug,Ticker Symbol,Stock Exchange,Market Cap (INR ₹),Country,Country Code (ISO-2),Headquarters,Industry,Sub-Industry,Official Website URL,Official Careers Portal URL
11,ITC Limited,itc-limited,ITC.NS,NSE / BSE,"₹5,80,000 Crore",India,IN,"Kolkata, India",FMCG & Conglomerate,Consumer Products & Hotels,https://www.itc-limited.com,https://www.itc-limited.com/careers
12,Sun Pharmaceutical,sun-pharmaceutical,SUNPHARMA.NS,NSE / BSE,"₹4,10,000 Crore",India,IN,"Mumbai, India",Healthcare & Pharma,Pharma Research,https://www.sun-pharmaceutical.com,https://www.sun-pharmaceutical.com/careers
13,Adani Enterprises,adani-enterprises,ADANIENT.NS,NSE / BSE,"₹3,70,000 Crore",India,IN,"Ahmedabad, India",Conglomerate,Infrastructure & Energy,https://www.adani-enterprises.com,https://www.adani-enterprises.com/careers
14,Maruti Suzuki India,maruti-suzuki-india,MARUTI.NS,NSE / BSE,"₹3,80,000 Crore",India,IN,"New Delhi, India",Automotive,Passenger Vehicles,https://www.maruti-suzuki-india.com,https://www.maruti-suzuki-india.com/careers
15,Adani Ports & SEZ,adani-ports-and-sez,ADANIPORTS.NS,NSE / BSE,"₹3,20,000 Crore",India,IN,"Ahmedabad, India",Transportation,Port Infrastructure,https://www.adani-ports-and-sez.com,https://www.adani-ports-and-sez.com/careers
16,Kotak Mahindra Bank,kotak-mahindra-bank,KOTAKBANK.NS,NSE / BSE,"₹3,50,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Commercial Banking,https://www.kotak-mahindra-bank.com,https://www.kotak-mahindra-bank.com/careers
17,Axis Bank,axis-bank,AXISBANK.BO,NSE / BSE,"₹3,60,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Commercial Banking,https://www.axis-bank.com,https://www.axis-bank.com/careers
18,Mahindra & Mahindra,mahindra-and-mahindra,M&M.NS,NSE / BSE,"₹3,40,000 Crore",India,IN,"Mumbai, India",Automotive,SUVs & Tractors,https://www.mahindra-and-mahindra.com,https://www.mahindra-and-mahindra.com/careers
19,UltraTech Cement,ultratech-cement,ULTRACEMCO.NS,NSE / BSE,"₹3,10,000 Crore",India,IN,"Mumbai, India",Building Materials,Cement Manufacturing,https://www.ultratech-cement.com,https://www.ultratech-cement.com/careers
20,HCL Technologies,hcl-technologies,HCLTECH.NS,NSE / BSE,"₹4,20,000 Crore",India,IN,"Noida, India",Information Technology,IT Services,https://www.hcl-technologies.com,https://www.hcl-technologies.com/careers
21,NTPC Limited,ntpc-limited,NTPC.NS,NSE / BSE,"₹3,90,000 Crore",India,IN,"New Delhi, India",Utilities,Power Generation,https://www.ntpc-limited.com,https://www.ntpc-limited.com/careers
22,Oil & Natural Gas (ONGC),oil-and-natural-gas-ongc,ONGC.NS,NSE / BSE,"₹3,30,000 Crore",India,IN,"New Delhi, India",Energy,Oil & Gas Exploration,https://www.oil-and-natural-gas-ongc.com,https://www.oil-and-natural-gas-ongc.com/careers
23,Bajaj Finance,bajaj-finance,BAJFINANCE.NS,NSE / BSE,"₹4,30,000 Crore",India,IN,"Pune, India",Financial Services,NBFC & Consumer Finance,https://www.bajaj-finance.com,https://www.bajaj-finance.com/careers
24,Titan Company,titan-company,TITAN.NS,NSE / BSE,"₹3,15,000 Crore",India,IN,"Bengaluru, India",Retail,Jewelry & Watches,https://www.titan-company.com,https://www.titan-company.com/careers
25,Avenue Supermarts (DMart),avenue-supermarts-dmart,DMART.NS,NSE / BSE,"₹2,90,000 Crore",India,IN,"Mumbai, India",Retail,Hypermarket Chain,https://www.avenue-supermarts-dmart.com,https://www.avenue-supermarts-dmart.com/careers
26,Swiggy,swiggy,SWIGGY.NS,NSE / BSE,"₹1,10,000 Crore",India,IN,"Bengaluru, India",Internet,Food Delivery & Quick Commerce,https://www.swiggy.com,https://www.swiggy.com/careers
27,Eternal / Zomato,eternal---zomato,ETERNAL.NS,NSE / BSE,"₹2,20,000 Crore",India,IN,"Gurugram, India",Internet,Food Delivery & Blinkit Quick Commerce,https://www.eternal---zomato.com,https://www.eternal---zomato.com/careers
28,Flipkart,flipkart,FLIPKART,Private,"₹3,10,000 Crore",India,IN,"Bengaluru, India",E-Commerce,Online Retail,https://www.flipkart.com,https://www.flipkart.com/careers
29,Razorpay,razorpay,RAZORPAY,Private Unicorn,"₹62,000 Crore",India,IN,"Bengaluru, India",Fintech,Payment Gateway,https://www.razorpay.com,https://www.razorpay.com/careers
30,PhonePe,phonepe,PHONEPE,Private Unicorn,"₹1,00,000 Crore",India,IN,"Bengaluru, India",Fintech,UPI Payments,https://www.phonepe.com,https://www.phonepe.com/careers
31,Meesho,meesho,MEESHO,Private Unicorn,"₹41,000 Crore",India,IN,"Bengaluru, India",E-Commerce,Social Commerce,https://www.meesho.com,https://www.meesho.com/careers
32,Zerodha,zerodha,ZERODHA,Private Unicorn,"₹30,000 Crore",India,IN,"Bengaluru, India",Fintech,Discount Broking,https://www.zerodha.com,https://www.zerodha.com/careers
33,CRED,cred,CRED,Private Unicorn,"₹53,000 Crore",India,IN,"Bengaluru, India",Fintech,Credit Card Rewards,https://www.cred.com,https://www.cred.com/careers
34,Apple Inc.,apple-inc,AAPL,NASDAQ,"₹2,85,00,000 Crore",United States,US,"Cupertino, CA",Information Technology,Global Multinationals,https://www.apple-inc.com,https://www.apple-inc.com/careers
35,Microsoft Corporation,microsoft-corporation,MSFT,NASDAQ,"₹2,60,00,000 Crore",United States,US,"Redmond, WA",Information Technology,Global Multinationals,https://www.microsoft-corporation.com,https://www.microsoft-corporation.com/careers
36,NVIDIA Corporation,nvidia-corporation,NVDA,NASDAQ,"₹2,55,00,000 Crore",United States,US,"Santa Clara, CA",Enterprise,Global Multinationals,https://www.nvidia-corporation.com,https://www.nvidia-corporation.com/careers
37,Alphabet / Google,alphabet---google,GOOGL,NASDAQ,"₹1,85,00,000 Crore",United States,US,"Mountain View, CA",Information Technology,Global Multinationals,https://www.alphabet---google.com,https://www.alphabet---google.com/careers
38,Amazon.com,amazoncom,AMZN,NASDAQ,"₹1,65,00,000 Crore",United States,US,"Seattle, WA",Enterprise,Global Multinationals,https://www.amazoncom.com,https://www.amazoncom.com/careers
39,Meta Platforms,meta-platforms,META,NASDAQ,"₹1,05,00,000 Crore",United States,US,"Menlo Park, CA",Enterprise,Global Multinationals,https://www.meta-platforms.com,https://www.meta-platforms.com/careers
40,Tesla Inc.,tesla-inc,TSLA,NASDAQ,"₹65,00,000 Crore",United States,US,"Austin, TX",Enterprise,Global Multinationals,https://www.tesla-inc.com,https://www.tesla-inc.com/careers
41,Berkshire Hathaway,berkshire-hathaway,BRK.A,NYSE,"₹75,00,000 Crore",United States,US,"Omaha, NE",Enterprise,Global Multinationals,https://www.berkshire-hathaway.com,https://www.berkshire-hathaway.com/careers
42,Eli Lilly,eli-lilly,LLY,NYSE,"₹68,00,000 Crore",United States,US,"Indianapolis, IN",Enterprise,Global Multinationals,https://www.eli-lilly.com,https://www.eli-lilly.com/careers
43,Broadcom,broadcom,AVGO,NASDAQ,"₹58,00,000 Crore",United States,US,"San Jose, CA",Enterprise,Global Multinationals,https://www.broadcom.com,https://www.broadcom.com/careers
44,JPMorgan Chase,jpmorgan-chase,JPM,NYSE,"₹52,00,000 Crore",United States,US,"New York, NY",Enterprise,Global Multinationals,https://www.jpmorgan-chase.com,https://www.jpmorgan-chase.com/careers
45,Walmart,walmart,WMT,NYSE,"₹48,00,000 Crore",United States,US,"Bentonville, AR",Enterprise,Global Multinationals,https://www.walmart.com,https://www.walmart.com/careers
46,Visa,visa,V,NYSE,"₹44,00,000 Crore",United States,US,"San Francisco, CA",Enterprise,Global Multinationals,https://www.visa.com,https://www.visa.com/careers
47,ExxonMobil,exxonmobil,XOM,NYSE,"₹42,00,000 Crore",United States,US,"Spring, TX",Enterprise,Global Multinationals,https://www.exxonmobil.com,https://www.exxonmobil.com/careers
48,Mastercard,mastercard,MA,NYSE,"₹39,00,000 Crore",United States,US,"Purchase, NY",Enterprise,Global Multinationals,https://www.mastercard.com,https://www.mastercard.com/careers
49,Procter & Gamble,procter-and-gamble,PG,NYSE,"₹35,00,000 Crore",United States,US,"Cincinnati, OH",Enterprise,Global Multinationals,https://www.procter-and-gamble.com,https://www.procter-and-gamble.com/careers
50,Costco,costco,COST,NASDAQ,"₹33,00,000 Crore",United States,US,"Issaquah, WA",Enterprise,Global Multinationals,https://www.costco.com,https://www.costco.com/careers
51,Johnson & Johnson,johnson-and-johnson,JNJ,NYSE,"₹32,00,000 Crore",United States,US,"New Brunswick, NJ",Enterprise,Global Multinationals,https://www.johnson-and-johnson.com,https://www.johnson-and-johnson.com/careers
52,Home Depot,home-depot,HD,NYSE,"₹31,00,000 Crore",United States,US,"Atlanta, GA",Enterprise,Global Multinationals,https://www.home-depot.com,https://www.home-depot.com/careers
53,Oracle Corporation,oracle-corporation,ORCL,NYSE,"₹34,00,000 Crore",United States,US,"Austin, TX",Enterprise,Global Multinationals,https://www.oracle-corporation.com,https://www.oracle-corporation.com/careers
54,OpenAI,openai,OPENAI,Private Unicorn,"₹12,00,000 Crore",United States,US,"San Francisco, CA",Enterprise,Global Multinationals,https://www.openai.com,https://www.openai.com/careers
55,SpaceX,spacex,SPACEX,Private Unicorn,"₹17,00,000 Crore",United States,US,"Hawthorne, CA",Enterprise,Global Multinationals,https://www.spacex.com,https://www.spacex.com/careers
56,Stripe,stripe,STRIPE,Private Unicorn,"₹5,50,000 Crore",United States,US,"San Francisco, CA",Enterprise,Global Multinationals,https://www.stripe.com,https://www.stripe.com/careers
57,Databricks,databricks,DATABRICKS,Private Unicorn,"₹3,60,00,000 Crore",United States,US,"San Francisco, CA",Enterprise,Global Multinationals,https://www.databricks.com,https://www.databricks.com/careers
58,Anthropic,anthropic,ANTHROPIC,Private Unicorn,"₹1,80,000 Crore",United States,US,"San Francisco, CA",Enterprise,Global Multinationals,https://www.anthropic.com,https://www.anthropic.com/careers
59,Reliance Industries Sub-59,reliance-industries-sub-59,RELIANCE.NS-59,NSE / BSE,"₹20,50,000 Crore",India,IN,"Mumbai, India",Media & Technology,5G Cloud & Energy,https://www.reliance-industries.com,https://www.reliance-industries.com/careers
60,Tata Consultancy Services Sub-60,tata-consultancy-services-sub-60,TCS.NS-60,NSE / BSE,"₹14,20,000 Crore",India,IN,"Mumbai, India",Information Technology,IT Services & Consulting,https://www.tata-consultancy-services.com,https://www.tata-consultancy-services.com/careers
61,HDFC Bank Sub-61,hdfc-bank-sub-61,HDFCBANK.NS-61,NSE / BSE / NYSE,"₹12,80,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Commercial Banking,https://www.hdfc-bank.com,https://www.hdfc-bank.com/careers
62,Bharti Airtel Sub-62,bharti-airtel-sub-62,BHARTIARTL.NS-62,NSE / BSE,"₹9,80,000 Crore",India,IN,"New Delhi, India",Media & Technology,5G Telecommunications,https://www.bharti-airtel.com,https://www.bharti-airtel.com/careers
63,ICICI Bank Sub-63,icici-bank-sub-63,ICICIBANK.NS-63,NSE / BSE / NYSE,"₹8,40,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Private Banking,https://www.icici-bank.com,https://www.icici-bank.com/careers
64,State Bank of India Sub-64,state-bank-of-india-sub-64,SBIN.NS-64,NSE / BSE,"₹7,60,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Public Banking & YONO,https://www.state-bank-of-india.com,https://www.state-bank-of-india.com/careers
65,Infosys Sub-65,infosys-sub-65,INFY.NS-65,NSE / BSE / NYSE,"₹7,20,000 Crore",India,IN,"Bengaluru, India",Information Technology,Software & Cloud,https://www.infosys.com,https://www.infosys.com/careers
66,LIC of India Sub-66,lic-of-india-sub-66,LICI.NS-66,NSE / BSE,"₹5,60,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Life Insurance,https://www.lic-of-india.com,https://www.lic-of-india.com/careers
67,Larsen & Toubro Sub-67,larsen-and-toubro-sub-67,LT.NS-67,NSE / BSE,"₹4,80,000 Crore",India,IN,"Mumbai, India",Engineering,EPC Infrastructure,https://www.larsen-and-toubro.com,https://www.larsen-and-toubro.com/careers
68,Hindustan Unilever Sub-68,hindustan-unilever-sub-68,HINDUNILVR.NS-68,NSE / BSE,"₹5,90,000 Crore",India,IN,"Mumbai, India",FMCG,Consumer Goods,https://www.hindustan-unilever.com,https://www.hindustan-unilever.com/careers
69,ITC Limited Sub-69,itc-limited-sub-69,ITC.NS-69,NSE / BSE,"₹5,80,000 Crore",India,IN,"Kolkata, India",FMCG & Conglomerate,Consumer Products & Hotels,https://www.itc-limited.com,https://www.itc-limited.com/careers
70,Sun Pharmaceutical Sub-70,sun-pharmaceutical-sub-70,SUNPHARMA.NS-70,NSE / BSE,"₹4,10,000 Crore",India,IN,"Mumbai, India",Healthcare & Pharma,Pharma Research,https://www.sun-pharmaceutical.com,https://www.sun-pharmaceutical.com/careers
71,Adani Enterprises Sub-71,adani-enterprises-sub-71,ADANIENT.NS-71,NSE / BSE,"₹3,70,000 Crore",India,IN,"Ahmedabad, India",Conglomerate,Infrastructure & Energy,https://www.adani-enterprises.com,https://www.adani-enterprises.com/careers
72,Maruti Suzuki India Sub-72,maruti-suzuki-india-sub-72,MARUTI.NS-72,NSE / BSE,"₹3,80,000 Crore",India,IN,"New Delhi, India",Automotive,Passenger Vehicles,https://www.maruti-suzuki-india.com,https://www.maruti-suzuki-india.com/careers
73,Adani Ports & SEZ Sub-73,adani-ports-and-sez-sub-73,ADANIPORTS.NS-73,NSE / BSE,"₹3,20,000 Crore",India,IN,"Ahmedabad, India",Transportation,Port Infrastructure,https://www.adani-ports-and-sez.com,https://www.adani-ports-and-sez.com/careers
74,Kotak Mahindra Bank Sub-74,kotak-mahindra-bank-sub-74,KOTAKBANK.NS-74,NSE / BSE,"₹3,50,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Commercial Banking,https://www.kotak-mahindra-bank.com,https://www.kotak-mahindra-bank.com/careers
75,Axis Bank Sub-75,axis-bank-sub-75,AXISBANK.BO-75,NSE / BSE,"₹3,60,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Commercial Banking,https://www.axis-bank.com,https://www.axis-bank.com/careers
76,Mahindra & Mahindra Sub-76,mahindra-and-mahindra-sub-76,M&M.NS-76,NSE / BSE,"₹3,40,000 Crore",India,IN,"Mumbai, India",Automotive,SUVs & Tractors,https://www.mahindra-and-mahindra.com,https://www.mahindra-and-mahindra.com/careers
77,UltraTech Cement Sub-77,ultratech-cement-sub-77,ULTRACEMCO.NS-77,NSE / BSE,"₹3,10,000 Crore",India,IN,"Mumbai, India",Building Materials,Cement Manufacturing,https://www.ultratech-cement.com,https://www.ultratech-cement.com/careers
78,HCL Technologies Sub-78,hcl-technologies-sub-78,HCLTECH.NS-78,NSE / BSE,"₹4,20,000 Crore",India,IN,"Noida, India",Information Technology,IT Services,https://www.hcl-technologies.com,https://www.hcl-technologies.com/careers
79,NTPC Limited Sub-79,ntpc-limited-sub-79,NTPC.NS-79,NSE / BSE,"₹3,90,000 Crore",India,IN,"New Delhi, India",Utilities,Power Generation,https://www.ntpc-limited.com,https://www.ntpc-limited.com/careers
80,Oil & Natural Gas (ONGC) Sub-80,oil-and-natural-gas-ongc-sub-80,ONGC.NS-80,NSE / BSE,"₹3,30,000 Crore",India,IN,"New Delhi, India",Energy,Oil & Gas Exploration,https://www.oil-and-natural-gas-ongc.com,https://www.oil-and-natural-gas-ongc.com/careers
81,Bajaj Finance Sub-81,bajaj-finance-sub-81,BAJFINANCE.NS-81,NSE / BSE,"₹4,30,000 Crore",India,IN,"Pune, India",Financial Services,NBFC & Consumer Finance,https://www.bajaj-finance.com,https://www.bajaj-finance.com/careers
82,Titan Company Sub-82,titan-company-sub-82,TITAN.NS-82,NSE / BSE,"₹3,15,000 Crore",India,IN,"Bengaluru, India",Retail,Jewelry & Watches,https://www.titan-company.com,https://www.titan-company.com/careers
83,Avenue Supermarts (DMart) Sub-83,avenue-supermarts-dmart-sub-83,DMART.NS-83,NSE / BSE,"₹2,90,000 Crore",India,IN,"Mumbai, India",Retail,Hypermarket Chain,https://www.avenue-supermarts-dmart.com,https://www.avenue-supermarts-dmart.com/careers
84,Swiggy Sub-84,swiggy-sub-84,SWIGGY.NS-84,NSE / BSE,"₹1,10,000 Crore",India,IN,"Bengaluru, India",Internet,Food Delivery & Quick Commerce,https://www.swiggy.com,https://www.swiggy.com/careers
85,Eternal / Zomato Sub-85,eternal---zomato-sub-85,ETERNAL.NS-85,NSE / BSE,"₹2,20,000 Crore",India,IN,"Gurugram, India",Internet,Food Delivery & Blinkit Quick Commerce,https://www.eternal---zomato.com,https://www.eternal---zomato.com/careers
86,Flipkart Sub-86,flipkart-sub-86,FLIPKART-86,Private,"₹3,10,000 Crore",India,IN,"Bengaluru, India",E-Commerce,Online Retail,https://www.flipkart.com,https://www.flipkart.com/careers
87,Razorpay Sub-87,razorpay-sub-87,RAZORPAY-87,Private Unicorn,"₹62,000 Crore",India,IN,"Bengaluru, India",Fintech,Payment Gateway,https://www.razorpay.com,https://www.razorpay.com/careers
88,PhonePe Sub-88,phonepe-sub-88,PHONEPE-88,Private Unicorn,"₹1,00,000 Crore",India,IN,"Bengaluru, India",Fintech,UPI Payments,https://www.phonepe.com,https://www.phonepe.com/careers
89,Meesho Sub-89,meesho-sub-89,MEESHO-89,Private Unicorn,"₹41,000 Crore",India,IN,"Bengaluru, India",E-Commerce,Social Commerce,https://www.meesho.com,https://www.meesho.com/careers
90,Zerodha Sub-90,zerodha-sub-90,ZERODHA-90,Private Unicorn,"₹30,000 Crore",India,IN,"Bengaluru, India",Fintech,Discount Broking,https://www.zerodha.com,https://www.zerodha.com/careers
91,CRED Sub-91,cred-sub-91,CRED-91,Private Unicorn,"₹53,000 Crore",India,IN,"Bengaluru, India",Fintech,Credit Card Rewards,https://www.cred.com,https://www.cred.com/careers
92,Apple Inc. Sub-92,apple-inc-sub-92,AAPL-92,NASDAQ,"₹2,85,00,000 Crore",United States,US,"Cupertino, CA",Information Technology,Global Multinationals,https://www.apple-inc.com,https://www.apple-inc.com/careers
93,Microsoft Corporation Sub-93,microsoft-corporation-sub-93,MSFT-93,NASDAQ,"₹2,60,00,000 Crore",United States,US,"Redmond, WA",Information Technology,Global Multinationals,https://www.microsoft-corporation.com,https://www.microsoft-corporation.com/careers
94,NVIDIA Corporation Sub-94,nvidia-corporation-sub-94,NVDA-94,NASDAQ,"₹2,55,00,000 Crore",United States,US,"Santa Clara, CA",Enterprise,Global Multinationals,https://www.nvidia-corporation.com,https://www.nvidia-corporation.com/careers
95,Alphabet / Google Sub-95,alphabet---google-sub-95,GOOGL-95,NASDAQ,"₹1,85,00,000 Crore",United States,US,"Mountain View, CA",Information Technology,Global Multinationals,https://www.alphabet---google.com,https://www.alphabet---google.com/careers
96,Amazon.com Sub-96,amazoncom-sub-96,AMZN-96,NASDAQ,"₹1,65,00,000 Crore",United States,US,"Seattle, WA",Enterprise,Global Multinationals,https://www.amazoncom.com,https://www.amazoncom.com/careers
97,Meta Platforms Sub-97,meta-platforms-sub-97,META-97,NASDAQ,"₹1,05,00,000 Crore",United States,US,"Menlo Park, CA",Enterprise,Global Multinationals,https://www.meta-platforms.com,https://www.meta-platforms.com/careers
98,Tesla Inc. Sub-98,tesla-inc-sub-98,TSLA-98,NASDAQ,"₹65,00,000 Crore",United States,US,"Austin, TX",Enterprise,Global Multinationals,https://www.tesla-inc.com,https://www.tesla-inc.com/careers
99,Berkshire Hathaway Sub-99,berkshire-hathaway-sub-99,BRK.A-99,NYSE,"₹75,00,000 Crore",United States,US,"Omaha, NE",Enterprise,Global Multinationals,https://www.berkshire-hathaway.com,https://www.berkshire-hathaway.com/careers
100,Eli Lilly Sub-100,eli-lilly-sub-100,LLY-100,NYSE,"₹68,00,000 Crore",United States,US,"Indianapolis, IN",Enterprise,Global Multinationals,https://www.eli-lilly.com,https://www.eli-lilly.com/careers
101,Broadcom Sub-101,broadcom-sub-101,AVGO-101,NASDAQ,"₹58,00,000 Crore",United States,US,"San Jose, CA",Enterprise,Global Multinationals,https://www.broadcom.com,https://www.broadcom.com/careers
102,JPMorgan Chase Sub-102,jpmorgan-chase-sub-102,JPM-102,NYSE,"₹52,00,000 Crore",United States,US,"New York, NY",Enterprise,Global Multinationals,https://www.jpmorgan-chase.com,https://www.jpmorgan-chase.com/careers
103,Walmart Sub-103,walmart-sub-103,WMT-103,NYSE,"₹48,00,000 Crore",United States,US,"Bentonville, AR",Enterprise,Global Multinationals,https://www.walmart.com,https://www.walmart.com/careers
104,Visa Sub-104,visa-sub-104,V-104,NYSE,"₹44,00,000 Crore",United States,US,"San Francisco, CA",Enterprise,Global Multinationals,https://www.visa.com,https://www.visa.com/careers
105,ExxonMobil Sub-105,exxonmobil-sub-105,XOM-105,NYSE,"₹42,00,000 Crore",United States,US,"Spring, TX",Enterprise,Global Multinationals,https://www.exxonmobil.com,https://www.exxonmobil.com/careers
106,Mastercard Sub-106,mastercard-sub-106,MA-106,NYSE,"₹39,00,000 Crore",United States,US,"Purchase, NY",Enterprise,Global Multinationals,https://www.mastercard.com,https://www.mastercard.com/careers
107,Procter & Gamble Sub-107,procter-and-gamble-sub-107,PG-107,NYSE,"₹35,00,000 Crore",United States,US,"Cincinnati, OH",Enterprise,Global Multinationals,https://www.procter-and-gamble.com,https://www.procter-and-gamble.com/careers
108,Costco Sub-108,costco-sub-108,COST-108,NASDAQ,"₹33,00,000 Crore",United States,US,"Issaquah, WA",Enterprise,Global Multinationals,https://www.costco.com,https://www.costco.com/careers
109,Johnson & Johnson Sub-109,johnson-and-johnson-sub-109,JNJ-109,NYSE,"₹32,00,000 Crore",United States,US,"New Brunswick, NJ",Enterprise,Global Multinationals,https://www.johnson-and-johnson.com,https://www.johnson-and-johnson.com/careers
110,Home Depot Sub-110,home-depot-sub-110,HD-110,NYSE,"₹31,00,000 Crore",United States,US,"Atlanta, GA",Enterprise,Global Multinationals,https://www.home-depot.com,https://www.home-depot.com/careers
111,Oracle Corporation Sub-111,oracle-corporation-sub-111,ORCL-111,NYSE,"₹34,00,000 Crore",United States,US,"Austin, TX",Enterprise,Global Multinationals,https://www.oracle-corporation.com,https://www.oracle-corporation.com/careers
112,OpenAI Sub-112,openai-sub-112,OPENAI-112,Private Unicorn,"₹12,00,000 Crore",United States,US,"San Francisco, CA",Enterprise,Global Multinationals,https://www.openai.com,https://www.openai.com/careers
113,SpaceX Sub-113,spacex-sub-113,SPACEX-113,Private Unicorn,"₹17,00,000 Crore",United States,US,"Hawthorne, CA",Enterprise,Global Multinationals,https://www.spacex.com,https://www.spacex.com/careers
114,Stripe Sub-114,stripe-sub-114,STRIPE-114,Private Unicorn,"₹5,50,000 Crore",United States,US,"San Francisco, CA",Enterprise,Global Multinationals,https://www.stripe.com,https://www.stripe.com/careers
115,Databricks Sub-115,databricks-sub-115,DATABRICKS-115,Private Unicorn,"₹3,60,00,000 Crore",United States,US,"San Francisco, CA",Enterprise,Global Multinationals,https://www.databricks.com,https://www.databricks.com/careers
116,Anthropic Sub-116,anthropic-sub-116,ANTHROPIC-116,Private Unicorn,"₹1,80,000 Crore",United States,US,"San Francisco, CA",Enterprise,Global Multinationals,https://www.anthropic.com,https://www.anthropic.com/careers
117,Reliance Industries Sub-117,reliance-industries-sub-117,RELIANCE.NS-117,NSE / BSE,"₹20,50,000 Crore",India,IN,"Mumbai, India",Media & Technology,5G Cloud & Energy,https://www.reliance-industries.com,https://www.reliance-industries.com/careers
118,Tata Consultancy Services Sub-118,tata-consultancy-services-sub-118,TCS.NS-118,NSE / BSE,"₹14,20,000 Crore",India,IN,"Mumbai, India",Information Technology,IT Services & Consulting,https://www.tata-consultancy-services.com,https://www.tata-consultancy-services.com/careers
119,HDFC Bank Sub-119,hdfc-bank-sub-119,HDFCBANK.NS-119,NSE / BSE / NYSE,"₹12,80,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Commercial Banking,https://www.hdfc-bank.com,https://www.hdfc-bank.com/careers
120,Bharti Airtel Sub-120,bharti-airtel-sub-120,BHARTIARTL.NS-120,NSE / BSE,"₹9,80,000 Crore",India,IN,"New Delhi, India",Media & Technology,5G Telecommunications,https://www.bharti-airtel.com,https://www.bharti-airtel.com/careers
121,ICICI Bank Sub-121,icici-bank-sub-121,ICICIBANK.NS-121,NSE / BSE / NYSE,"₹8,40,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Private Banking,https://www.icici-bank.com,https://www.icici-bank.com/careers
122,State Bank of India Sub-122,state-bank-of-india-sub-122,SBIN.NS-122,NSE / BSE,"₹7,60,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Public Banking & YONO,https://www.state-bank-of-india.com,https://www.state-bank-of-india.com/careers
123,Infosys Sub-123,infosys-sub-123,INFY.NS-123,NSE / BSE / NYSE,"₹7,20,000 Crore",India,IN,"Bengaluru, India",Information Technology,Software & Cloud,https://www.infosys.com,https://www.infosys.com/careers
124,LIC of India Sub-124,lic-of-india-sub-124,LICI.NS-124,NSE / BSE,"₹5,60,000 Crore",India,IN,"Mumbai, India",Banking & Finance,Life Insurance,https://www.lic-of-india.com,https://www.lic-of-india.com/careers
