Rank,Company Name,Official / Legal Name,Slug,Ticker Symbol,Stock Exchange,Market Cap,Country,Country Code (ISO-2),Headquarters,Industry,Sub-Industry,Official Website URL,Official Careers Portal URL
29,Adani Ports & SEZADANIPORTS.NS,Adani Ports & SEZADANIPORTS.NS Corp,adani-ports-and-sez,ADANI-PO,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.adani-ports-and-sez.com,https://www.adani-ports-and-sez.com/careers
30,Axis BankAXISBANK.BO,Axis BankAXISBANK.BO Corp,axis-bank,AXIS-BAN,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.axis-bank.com,https://www.axis-bank.com/careers
31,Mahindra &amp; MahindraM&M.NS,Mahindra &amp; MahindraM&M.NS Corp,mahindra-mahindra,MAHINDRA,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.mahindra-mahindra.com,https://www.mahindra-mahindra.com/careers
32,ITCITC.NS,ITCITC.NS Corp,itc,ITC,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.itc.com,https://www.itc.com/careers
33,Bajaj AutoBAJAJ-AUTO.NS,Bajaj AutoBAJAJ-AUTO.NS Corp,bajaj-auto,BAJAJ-AU,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.bajaj-auto.com,https://www.bajaj-auto.com/careers
34,Hindustan AeronauticsHAL.NS,Hindustan AeronauticsHAL.NS Corp,hindustan-aeronautics,HINDUSTA,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.hindustan-aeronautics.com,https://www.hindustan-aeronautics.com/careers
35,JSW SteelJSWSTEEL.NS,JSW SteelJSWSTEEL.NS Corp,jsw-steel,JSW-STEE,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.jsw-steel.com,https://www.jsw-steel.com/careers
36,Bajaj FinservBAJAJFINSV.NS,Bajaj FinservBAJAJFINSV.NS Corp,bajaj-finserv,BAJAJ-FI,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.bajaj-finserv.com,https://www.bajaj-finserv.com/careers
37,Nestlé IndiaNESTLEIND.NS,Nestlé IndiaNESTLEIND.NS Corp,nestle-india,NESTLE-I,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.nestle-india.com,https://www.nestle-india.com/careers
38,Coal IndiaCOALINDIA.NS,Coal IndiaCOALINDIA.NS Corp,coal-india,COAL-IND,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.coal-india.com,https://www.coal-india.com/careers
39,DMartDMART.NS,DMartDMART.NS Corp,dmart,DMART,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.dmart.com,https://www.dmart.com/careers
40,Eternal (Zomato)ETERNAL.NS,Eternal (Zomato)ETERNAL.NS Corp,eternal-zomato,ETERNAL-,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.eternal-zomato.com,https://www.eternal-zomato.com/careers
41,Tata SteelTATASTEEL.NS,Tata SteelTATASTEEL.NS Corp,tata-steel,TATA-STE,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.tata-steel.com,https://www.tata-steel.com/careers
42,Eicher MotorsEICHERMOT.NS,Eicher MotorsEICHERMOT.NS Corp,eicher-motors,EICHER-M,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.eicher-motors.com,https://www.eicher-motors.com/careers
43,Adani Energy SolutionsADANIENSOL.NS,Adani Energy SolutionsADANIENSOL.NS Corp,adani-energy-solutions,ADANI-EN,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.adani-energy-solutions.com,https://www.adani-energy-solutions.com/careers
44,Indian OilIOC.NS,Indian OilIOC.NS Corp,indian-oil,INDIAN-O,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.indian-oil.com,https://www.indian-oil.com/careers
45,Divis LaboratoriesDIVISLAB.NS,Divis LaboratoriesDIVISLAB.NS Corp,divis-laboratories,DIVIS-LA,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.divis-laboratories.com,https://www.divis-laboratories.com/careers
46,InterGlobe Aviation (IndiGo)INDIGO.NS,InterGlobe Aviation (IndiGo)INDIGO.NS Corp,interglobe-aviation,INTERGLO,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.interglobe-aviation.com,https://www.interglobe-aviation.com/careers
47,SBI Life InsuranceSBILIFE.NS,SBI Life InsuranceSBILIFE.NS Corp,sbi-life-insurance,SBI-LIFE,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.sbi-life-insurance.com,https://www.sbi-life-insurance.com/careers
48,TVS MotorTVSMOTOR.NS,TVS MotorTVSMOTOR.NS Corp,tvs-motor,TVS-MOTO,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.tvs-motor.com,https://www.tvs-motor.com/careers
49,WiproWIT,WiproWIT Corp,wipro,WIPRO,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.wipro.com,https://www.wipro.com/careers
50,Solar Industries IndiaSOLARINDS.NS,Solar Industries IndiaSOLARINDS.NS Corp,solar-industries-india,SOLAR-IN,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.solar-industries-india.com,https://www.solar-industries-india.com/careers
51,Tata MotorsTATAMOTORS.NS,Tata MotorsTATAMOTORS.NS Corp,tata-motors,TATA-MOT,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.tata-motors.com,https://www.tata-motors.com/careers
52,Hyundai Motor IndiaHYUNDAI.NS,Hyundai Motor IndiaHYUNDAI.NS Corp,hyundai-motor-india,HYUNDAI-,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.hyundai-motor-india.com,https://www.hyundai-motor-india.com/careers
53,PidilitePIDILITIND.NS,PidilitePIDILITIND.NS Corp,pidilite,PIDILITE,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.pidilite.com,https://www.pidilite.com/careers
54,DLFDLF.NS,DLFDLF.NS Corp,dlf,DLF,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.dlf.com,https://www.dlf.com/careers
55,Cummins IndiaCUMMINSIND.NS,Cummins IndiaCUMMINSIND.NS Corp,cummins-india,CUMMINS-,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.cummins-india.com,https://www.cummins-india.com/careers
56,Jio Financial ServicesJIOFIN.NS,Jio Financial ServicesJIOFIN.NS Corp,jio-financial-services,JIO-FINA,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.jio-financial-services.com,https://www.jio-financial-services.com/careers
57,Trent LimitedTRENT.NS,Trent LimitedTRENT.NS Corp,trent,TRENT,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.trent.com,https://www.trent.com/careers
58,Samvardhana MothersonMOTHERSON.NS,Samvardhana MothersonMOTHERSON.NS Corp,mssl,MSSL,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.mssl.com,https://www.mssl.com/careers
59,Cholamandalam Investment and FinanceCHOLAFIN.NS,Cholamandalam Investment and FinanceCHOLAFIN.NS Corp,cholamandalam-investment-and-finance,CHOLAMAN,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.cholamandalam-investment-and-finance.com,https://www.cholamandalam-investment-and-finance.com/careers
60,Bharat Heavy Electricals LimitedBHEL.NS,Bharat Heavy Electricals LimitedBHEL.NS Corp,bharat-heavy-electricals-limited,BHARAT-H,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.bharat-heavy-electricals-limited.com,https://www.bharat-heavy-electricals-limited.com/careers
61,Hitachi Energy IndiaPOWERINDIA.NS,Hitachi Energy IndiaPOWERINDIA.NS Corp,hitachi-energy-india,HITACHI-,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.hitachi-energy-india.com,https://www.hitachi-energy-india.com/careers
62,CG Power and Industrial SolutionsCGPOWER.NS,CG Power and Industrial SolutionsCGPOWER.NS Corp,cg-power,CG-POWER,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.cg-power.com,https://www.cg-power.com/careers
63,LTIMindtreeLTIM.NS,LTIMindtreeLTIM.NS Corp,ltimindtree,LTIMINDT,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.ltimindtree.com,https://www.ltimindtree.com/careers
64,Union Bank of IndiaUNIONBANK.NS,Union Bank of IndiaUNIONBANK.NS Corp,union-bank-of-india,UNION-BA,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.union-bank-of-india.com,https://www.union-bank-of-india.com/careers
65,BOSCH IndiaBOSCHLTD.NS,BOSCH IndiaBOSCHLTD.NS Corp,bosch-india,BOSCH-IN,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.bosch-india.com,https://www.bosch-india.com/careers
66,Bajaj Holdings &amp; InvestmentBAJAJHLDNG.NS,Bajaj Holdings &amp; InvestmentBAJAJHLDNG.NS Corp,bajaj-holdings-investment,BAJAJ-HO,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.bajaj-holdings-investment.com,https://www.bajaj-holdings-investment.com/careers
67,Lodha GroupLODHA.NS,Lodha GroupLODHA.NS Corp,lodha-group,LODHA-GR,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.lodha-group.com,https://www.lodha-group.com/careers
68,CiplaCIPLA.NS,CiplaCIPLA.NS Corp,cipla,CIPLA,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.cipla.com,https://www.cipla.com/careers
69,Indian Railway FinanceIRFC.NS,Indian Railway FinanceIRFC.NS Corp,indian-railway-finance,INDIAN-R,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.indian-railway-finance.com,https://www.indian-railway-finance.com/careers
70,GMR AirportsGMRAIRPORT.NS,GMR AirportsGMRAIRPORT.NS Corp,gmr-airports,GMR-AIRP,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.gmr-airports.com,https://www.gmr-airports.com/careers
71,GAILGAIL.NS,GAILGAIL.NS Corp,gail,GAIL,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.gail.com,https://www.gail.com/careers
72,Zydus LifesciencesZYDUSLIFE.NS,Zydus LifesciencesZYDUSLIFE.NS Corp,zydus-lifesciences,ZYDUS-LI,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.zydus-lifesciences.com,https://www.zydus-lifesciences.com/careers
73,GodrejGODREJCP.NS,GodrejGODREJCP.NS Corp,godrej,GODREJ,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.godrej.com,https://www.godrej.com/careers
74,HDFC Asset Management Company LimitedHDFCAMC.NS,HDFC Asset Management Company LimitedHDFCAMC.NS Corp,hdfc-asset-management-company-limited,HDFC-ASS,NSE / BSE,INR ₹ Live Tracked,India,IN,India Headquarters,Commercial Enterprise,Operating Business,https://www.hdfc-asset-management-company-limited.com,https://www.hdfc-asset-management-company-limited.com/careers
75,Mitsubishi UFJ FinancialMUFG,Mitsubishi UFJ FinancialMUFG Corp,mitsubishi-ufj-financial,MITSUBIS,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.mitsubishi-ufj-financial.com,https://www.mitsubishi-ufj-financial.com/careers
76,ToyotaTM,ToyotaTM Corp,toyota,TOYOTA,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.toyota.com,https://www.toyota.com/careers
77,SoftBank Group Corp.9984.T,SoftBank Group Corp.9984.T Corp,softbank,SOFTBANK,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.softbank.com,https://www.softbank.com/careers
78,KIOXIA Holdings Corporation285A.T,KIOXIA Holdings Corporation285A.T Corp,kioxia-holdings-corporation,KIOXIA-H,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.kioxia-holdings-corporation.com,https://www.kioxia-holdings-corporation.com/careers
79,Tokyo Electron8035.T,Tokyo Electron8035.T Corp,tokyo-electron,TOKYO-EL,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.tokyo-electron.com,https://www.tokyo-electron.com/careers
80,Sumitomo Mitsui Financial GroupSMFG,Sumitomo Mitsui Financial GroupSMFG Corp,sumitomo-mitsui-financial-group,SUMITOMO,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.sumitomo-mitsui-financial-group.com,https://www.sumitomo-mitsui-financial-group.com/careers
81,Fast Retailing9983.T,Fast Retailing9983.T Corp,fast-retailing,FAST-RET,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.fast-retailing.com,https://www.fast-retailing.com/careers
82,Hitachi6501.T,Hitachi6501.T Corp,hitachi,HITACHI,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.hitachi.com,https://www.hitachi.com/careers
83,SonySONY,SonySONY Corp,sony,SONY,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.sony.com,https://www.sony.com/careers
84,Mitsubishi Corporation8058.T,Mitsubishi Corporation8058.T Corp,mitsubishi-corporation,MITSUBIS,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.mitsubishi-corporation.com,https://www.mitsubishi-corporation.com/careers
85,Keyence6861.T,Keyence6861.T Corp,keyence,KEYENCE,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.keyence.com,https://www.keyence.com/careers
86,Recruit6098.T,Recruit6098.T Corp,recruit,RECRUIT,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.recruit.com,https://www.recruit.com/careers
87,Tokio Marine8766.T,Tokio Marine8766.T Corp,tokio-marine,TOKIO-MA,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.tokio-marine.com,https://www.tokio-marine.com/careers
88,Murata Manufacturing (Murata Seisakusho)6981.T,Murata Manufacturing (Murata Seisakusho)6981.T Corp,murata-seisakusho,MURATA-S,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.murata-seisakusho.com,https://www.murata-seisakusho.com/careers
89,Itōchū Shōji8001.T,Itōchū Shōji8001.T Corp,itochu-shoji,ITOCHU-S,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.itochu-shoji.com,https://www.itochu-shoji.com/careers
90,Mitsubishi Heavy Industries7011.T,Mitsubishi Heavy Industries7011.T Corp,mitsubishi-heavy-industries,MITSUBIS,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.mitsubishi-heavy-industries.com,https://www.mitsubishi-heavy-industries.com/careers
91,Shin-Etsu Chemical4063.T,Shin-Etsu Chemical4063.T Corp,shin-etsu-chemical,SHIN-ETS,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.shin-etsu-chemical.com,https://www.shin-etsu-chemical.com/careers
92,Chugai Pharmaceutical4519.T,Chugai Pharmaceutical4519.T Corp,chugai-pharmaceutical,CHUGAI-P,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.chugai-pharmaceutical.com,https://www.chugai-pharmaceutical.com/careers
93,Mitsubishi Electric6503.T,Mitsubishi Electric6503.T Corp,mitsubishi-electric,MITSUBIS,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.mitsubishi-electric.com,https://www.mitsubishi-electric.com/careers
94,Japan Tobacco2914.T,Japan Tobacco2914.T Corp,japan-tobacco,JAPAN-TO,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.japan-tobacco.com,https://www.japan-tobacco.com/careers
95,KDDI9433.T,KDDI9433.T Corp,kddi,KDDI,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.kddi.com,https://www.kddi.com/careers
96,SoftBank Corp.9434.T,SoftBank Corp.9434.T Corp,softbank-corp,SOFTBANK,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.softbank-corp.com,https://www.softbank-corp.com/careers
97,Panasonic6752.T,Panasonic6752.T Corp,panasonic,PANASONI,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.panasonic.com,https://www.panasonic.com/careers
98,Takeda PharmaceuticalTAK,Takeda PharmaceuticalTAK Corp,takeda-pharmaceutical,TAKEDA-P,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.takeda-pharmaceutical.com,https://www.takeda-pharmaceutical.com/careers
99,Hoya7741.T,Hoya7741.T Corp,hoya,HOYA,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.hoya.com,https://www.hoya.com/careers
100,Fujikura5803.T,Fujikura5803.T Corp,fujikura,FUJIKURA,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.fujikura.com,https://www.fujikura.com/careers
101,Sumitomo8053.T,Sumitomo8053.T Corp,sumitomo,SUMITOMO,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.sumitomo.com,https://www.sumitomo.com/careers
102,MS&amp;AD Insurance8725.T,MS&amp;AD Insurance8725.T Corp,ms-ad-insurance,MS-AD-IN,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.ms-ad-insurance.com,https://www.ms-ad-insurance.com/careers
103,Daikin6367.T,Daikin6367.T Corp,daikin,DAIKIN,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.daikin.com,https://www.daikin.com/careers
104,Disco Corp.6146.T,Disco Corp.6146.T Corp,disco-corp,DISCO-CO,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.disco-corp.com,https://www.disco-corp.com/careers
105,Fanuc6954.T,Fanuc6954.T Corp,fanuc,FANUC,TSE / JPX,JPY ¥ Live Tracked,Japan,JP,Japan Headquarters,Commercial Enterprise,Operating Business,https://www.fanuc.com,https://www.fanuc.com/careers
